"            bitcoin  isPartial
2016-10-02       51      False
2016-10-09       54      False
2016-10-16       54      False
2016-10-23       66      False
2016-10-30       68      False
2016-11-06       68      False
2016-11-13       70      False
2016-11-20       65      False
2016-11-27       71      False
2016-12-04       67      False
2016-12-11       67      False
2016-12-18       86      False
2016-12-25      100      False"
"            bitcoin  isPartial
date                          
2017-01-01        7      False
2017-01-08        6      False
2017-01-15        4      False
2017-01-22        4      False
2017-01-29        4      False
2017-02-05        5      False
2017-02-12        4      False
2017-02-19        5      False
2017-02-26        6      False
2017-03-05        7      False
2017-03-12        5      False
2017-03-19        5      False
2017-03-26        5      False
2017-04-02        5      False
2017-04-09        5      False
2017-04-16        5      False
2017-04-23        5      False
2017-04-30        7      False
2017-05-07        9      False
2017-05-14       11      False
2017-05-21       19      False
2017-05-28       12      False
2017-06-04       12      False
2017-06-11       13      False
2017-06-18       11      False
2017-06-25       11      False
2017-07-02        9      False
2017-07-09       10      False
2017-07-16       12      False
2017-07-23       10      False
2017-07-30       16      False
2017-08-06       14      False
2017-08-13       19      False
2017-08-20       16      False
2017-08-27       17      False
2017-09-03       18      False
2017-09-10       20      False
2017-09-17       16      False
2017-09-24       13      False
2017-10-01       12      False
2017-10-08       19      False
2017-10-15       20      False
2017-10-22       21      False
2017-10-29       27      False
2017-11-05       28      False
2017-11-12       31      False
2017-11-19       28      False
2017-11-26       62      False
2017-12-03       87      False
2017-12-10       88      False
2017-12-17      100      False
2017-12-24       63      False
2017-12-31       45      False"
"            bitcoin  isPartial
date                          
2018-01-07       82      False
2018-01-14      100      False
2018-01-21       69      False
2018-01-28       72      False
2018-02-04       86      False
2018-02-11       48      False
2018-02-18       44      False
2018-02-25       35      False
2018-03-04       36      False
2018-03-11       35      False
2018-03-18       32      False
2018-03-25       32      False
2018-04-01       32      False
2018-04-08       28      False
2018-04-15       26      False
2018-04-22       27      False
2018-04-29       22      False
2018-05-06       22      False
2018-05-13       20      False
2018-05-20       20      False
2018-05-27       19      False
2018-06-03       17      False
2018-06-10       22      False
2018-06-17       18      False
2018-06-24       19      False
2018-07-01       17      False
2018-07-08       16      False
2018-07-15       20      False
2018-07-22       22      False
2018-07-29       19      False
2018-08-05       20      False
2018-08-12       20      False
2018-08-19       18      False
2018-08-26       19      False
2018-09-02       19      False
2018-09-09       18      False
2018-09-16       16      False
2018-09-23       16      False
2018-09-30       14      False
2018-10-07       15      False
2018-10-14       14      False
2018-10-21       13      False
2018-10-28       14      False
2018-11-04       14      False
2018-11-11       18      False
2018-11-18       25      False
2018-11-25       26      False
2018-12-02       21      False
2018-12-09       20      False
2018-12-16       21      False
2018-12-23       18      False
2018-12-30       16      False"
"            bitcoin  isPartial
date                          
2019-01-06       33      False
2019-01-13       29      False
2019-01-20       26      False
2019-01-27       27      False
2019-02-03       30      False
2019-02-10       26      False
2019-02-17       31      False
2019-02-24       28      False
2019-03-03       27      False
2019-03-10       26      False
2019-03-17       26      False
2019-03-24       25      False
2019-03-31       45      False
2019-04-07       38      False
2019-04-14       34      False
2019-04-21       35      False
2019-04-28       32      False
2019-05-05       43      False
2019-05-12       69      False
2019-05-19       52      False
2019-05-26       55      False
2019-06-02       46      False
2019-06-09       42      False
2019-06-16       61      False
2019-06-23      100      False
2019-06-30       65      False
2019-07-07       62      False
2019-07-14       60      False
2019-07-21       50      False
2019-07-28       44      False
2019-08-04       55      False
2019-08-11       48      False
2019-08-18       42      False
2019-08-25       39      False
2019-09-01       41      False
2019-09-08       36      False
2019-09-15       35      False
2019-09-22       47      False
2019-09-29       38      False
2019-10-06       36      False
2019-10-13       32      False
2019-10-20       39      False
2019-10-27       39      False
2019-11-03       32      False
2019-11-10       31      False
2019-11-17       36      False
2019-11-24       38      False
2019-12-01       34      False
2019-12-08       31      False
2019-12-15       33      False
2019-12-22       30      False
2019-12-29       29      False"
"            bitcoin  isPartial
date                          
2020-01-05       26      False
2020-01-12       26      False
2020-01-19       23      False
2020-01-26       25      False
2020-02-02       26      False
2020-02-09       31      False
2020-02-16       26      False
2020-02-23       27      False
2020-03-01       24      False
2020-03-08       45      False
2020-03-15       48      False
2020-03-22       35      False
2020-03-29       30      False
2020-04-05       34      False
2020-04-12       30      False
2020-04-19       29      False
2020-04-26       39      False
2020-05-03       43      False
2020-05-10       49      False
2020-05-17       34      False
2020-05-24       30      False
2020-05-31       31      False
2020-06-07       28      False
2020-06-14       26      False
2020-06-21       24      False
2020-06-28       24      False
2020-07-05       23      False
2020-07-12       25      False
2020-07-19       25      False
2020-07-26       39      False
2020-08-02       35      False
2020-08-09       32      False
2020-08-16       32      False
2020-08-23       27      False
2020-08-30       29      False
2020-09-06       27      False
2020-09-13       23      False
2020-09-20       21      False
2020-09-27       21      False
2020-10-04       21      False
2020-10-11       22      False
2020-10-18       30      False
2020-10-25       33      False
2020-11-01       33      False
2020-11-08       38      False
2020-11-15       55      False
2020-11-22       58      False
2020-11-29       50      False
2020-12-06       40      False
2020-12-13       66      False
2020-12-20       65      False
2020-12-27      100      False"
"            bitcoin  isPartial
date                          
2021-01-03       84      False
2021-01-10       82      False
2021-01-17       55      False
2021-01-24       50      False
2021-01-31       44      False
2021-02-07       77      False
2021-02-14       75      False
2021-02-21       80      False
2021-02-28       54      False
2021-03-07       52      False
2021-03-14       51      False
2021-03-21       47      False
2021-03-28       46      False
2021-04-04       41      False
2021-04-11       50      False
2021-04-18       69      False
2021-04-25       52      False
2021-05-02       44      False
2021-05-09       59      False
2021-05-16      100      False
2021-05-23       71      False
2021-05-30       51      False
2021-06-06       53      False
2021-06-13       41      False
2021-06-20       49      False
2021-06-27       36      False
2021-07-04       30      False
2021-07-11       30      False
2021-07-18       35      False
2021-07-25       39      False
2021-08-01       31      False
2021-08-08       37      False
2021-08-15       31      False
2021-08-22       33      False
2021-08-29       29      False
2021-09-05       39      False
2021-09-12       27      False
2021-09-19       35      False
2021-09-26       29      False
2021-10-03       34      False
2021-10-10       37      False
2021-10-17       48      False
2021-10-24       37      False
2021-10-31       32      False
2021-11-07       37      False
2021-11-14       38      False
2021-11-21       36      False
2021-11-28       37      False
2021-12-05       39      False
2021-12-12       35      False
2021-12-19       32      False
2021-12-26       32      False"
"            bitcoin  isPartial
date                          
2022-01-02       59      False
2022-01-09       58      False
2022-01-16       61      False
2022-01-23       79      False
2022-01-30       58      False
2022-02-06       55      False
2022-02-13       47      False
2022-02-20       60      False
2022-02-27       56      False
2022-03-06       48      False
2022-03-13       42      False
2022-03-20       42      False
2022-03-27       44      False
2022-04-03       39      False
2022-04-10       37      False
2022-04-17       34      False
2022-04-24       36      False
2022-05-01       37      False
2022-05-08       84      False
2022-05-15       53      False
2022-05-22       45      False
2022-05-29       39      False
2022-06-05       38      False
2022-06-12      100      False
2022-06-19       74      False
2022-06-26       56      False
2022-07-03       49      False
2022-07-10       45      False
2022-07-17       47      False
2022-07-24       42      False
2022-07-31       36      False
2022-08-07       35      False
2022-08-14       32      False
2022-08-21       33      False
2022-08-28       33      False
2022-09-04       33      False
2022-09-11       33       True"
